Rank,TC Number,Railway Company,Region,Province,Access,Jurisdiction,Mile,Subdivision,Spur Mile Point,Spur Name,Location,Latitude,Longitude,Road  Authority,Protection,Accidents,Fatality,Injury,Trains Daily,Vehicles Daily,Train Max Speed (mph),Road Speed (km/h),Lanes,Tracks,IsUrban
82,860,Canadian National Railway,ONT,ON,Public,F,271.52,Bala - CN,-,-,Cote Blvd 80 (Valley East,46.6503,-80.925,Greater Sudbury (ON),Active - FLBG,1,0,0,21.86,5600,70,60,2,1,Y
326,861,Canadian National Railway,ONT,ON,Public,F,272.51,Bala - CN,-,-,Regional Road #84,46.66403,-80.9219,Greater Sudbury (ON),Active - FLBG,0,0,0,21.86,4100,70,80,2,1,Y
332,854,Canadian National Railway,ONT,ON,Public,F,263.18,Bala - CN,-,-,Maley Drive,46.5373,-80.9162,Greater Sudbury (ON),Active - FLBG,0,0,0,21.86,5500,65,60,2,1,Y
361,15216,Canadian National Railway,ONT,ON,Public,F,262.3,Bala - CN,2.55,Sudbury,Barrydowne Rd,46.5182,-80.9441,Greater Sudbury (ON),Active - FLB,1,0,2,4,14000,15,50,4,1,N
530,859,Canadian National Railway,ONT,ON,Public,F,270.55,Bala - CN,-,-,Guenette St (Valley East),46.6358,-80.9272,Greater Sudbury (ON),Active - FLBG,0,0,0,25,1800,70,60,2,1,N
743,20556,Canadian Pacific Railway,ONT,ON,Public,F,80.15,Cartier - CP,-,-,Kathleen Street,46.4999,-81.00762,Greater Sudbury (ON),Active - FLBG,1,0,0,9,10000,30,50,2,2,Y
766,857,Canadian National Railway,ONT,ON,Public,F,269.7,Bala - CN,-,-,Bodson Dr (Valley East),46.6235,-80.9287,Greater Sudbury (ON),Active - FLBG,0,0,0,21.86,1200,70,80,2,1,N
892,30180,Huron Central Railway,ONT,ON,Public,P,21.35,Webbwood - HCRC,0.19,Crean Hill,Old Hwy 17,46.3908,-81.3778,Greater Sudbury (ON),Passive,0,0,0,8,500,45,80,2,1,N
925,15223,Canadian National Railway,ONT,ON,Public,F,262.3,Bala - CN,4.89,Sudbury,Cambrian Heights Dr,46.5077,-80.9888,Greater Sudbury (ON),Active - FLB,1,0,0,6,2000,10,50,2,1,N
1500,20554,Canadian Pacific Railway,ONT,ON,Public,F,79.4,Cartier - CP,-,-,Elm Street,46.49309,-80.99827,Greater Sudbury (ON),Active - FLBG,0,0,0,9,10000,10,50,4,3,Y
1531,300755,Canadian National Railway,ONT,ON,Public,F,262.3,Bala - CN,4.76,Sudbury,Notre Dame Ave.,46.5088,-80.9867,Greater Sudbury (ON),Active - FLBG,0,0,0,6,26000,10,60,2,1,N
1618,855,Canadian National Railway,ONT,ON,Public,F,264.22,Bala - CN,-,-,O`Neil Dr,46.551,-80.9246,Greater Sudbury (ON),Active - FLBG,0,0,0,21,400,65,50,2,1,N
1670,30182,Huron Central Railway,ONT,ON,Public,P,26.46,Webbwood - HCRC,-,-,Worthington Rd,46.3799,-81.4762,Greater Sudbury (ON),Passive,0,0,0,8,300,40,80,2,1,N
