Rank,TC Number,Railway Company,Region,Province,Access,Jurisdiction,Mile,Subdivision,Spur Mile Point,Spur Name,Location,Latitude,Longitude,Road  Authority,Protection,Accidents,Fatality,Injury,Trains Daily,Vehicles Daily,Train Max Speed (mph),Road Speed (km/h),Lanes,Tracks,IsUrban
7,14506,VIA Rail Canada Inc.,ONT,ON,Public,F,3.28,Smiths Falls,"-","-",Woodroffe Rd,45.3031,-75.7339,Ottawa (ON),Active - FLBG,false,false,false,"30",20753,"95",100,4,1,Y
30,14505,VIA Rail Canada Inc.,ONT,ON,Public,F,1.63,Smiths Falls,"-","-",Merivale Rd,45.324,-75.7179,Ottawa (ON),Active - FLBG,false,false,false,"12",19554,"95",50,3,1,Y
35,300978,VIA Rail Canada Inc.,ONT,ON,Public,F,6.81,Smiths Falls,"-","-",Strandherd Dr,45.2607,-75.7735,Ottawa (ON),Active - FLBG,false,false,false,"12",13490,"95",80,2,1,Y
47,14509,VIA Rail Canada Inc.,ONT,ON,Public,F,5.73,Smiths Falls,"-","-",Jockvale Rd,45.2718,-75.7578,Ottawa (ON),Active - FLBG,false,false,false,"12",11329,"95",80,2,1,Y
58,14515,VIA Rail Canada Inc.,ONT,ON,Public,F,11.75,Smiths Falls,"-","-",Barnsdale Rd,45.1986,-75.8162,Ottawa (ON),Active - FLBG,true,true,true,"12",2614,"95",90,2,1,N
60,246,VIA Rail Canada Inc.,ONT,ON,Public,F,65.93,Alexandria - VIA,"-","-",Boundary Rd (County Rd 41),45.3686,-75.4558,Ottawa (ON),Active - FLBG,true,false,false,"17.5",3345,"80",70,2,1,N
121,241,VIA Rail Canada Inc.,ONT,ON,Public,F,61.7,Alexandria - VIA,"-","-",Frank Kenny Rd,45.3552,-75.3707,Ottawa (ON),Active - FLBG,false,false,false,"20",2000,"100",80,2,1,N
124,14518,VIA Rail Canada Inc.,ONT,ON,Public,F,12.88,Smiths Falls,"-","-",Mcbean St,45.1836,-75.8253,Ottawa (ON),Active - FLBG,false,false,false,"21",1904,"100",70,2,1,Y
158,249,VIA Rail Canada Inc.,ONT,ON,Public,F,67.98,Alexandria - VIA,"-","-",Russell Rd 26,45.3751,-75.4968,Ottawa (ON),Active - FLBG,false,false,false,"17.5",3800,"80",80,2,1,N
186,14512,VIA Rail Canada Inc.,ONT,ON,Public,F,7.96,Smiths Falls,"-","-",Moodie Dr,45.25005,-75.79126,Ottawa (ON),Active - FLBG,false,false,false,"12",2500,"95",80,2,1,N
200,14517,VIA Rail Canada Inc.,ONT,ON,Public,F,12.54,Smiths Falls,"-","-",Ottawa St,45.1883,-75.8224,Ottawa (ON),Active - FLBG,false,false,false,"12",2400,"95",50,2,1,N
206,14516,VIA Rail Canada Inc.,ONT,ON,Public,F,11.97,Smiths Falls,"-","-",Eagleson Rd,45.196,-75.8178,Ottawa (ON),Active - FLBG,false,false,false,"12",2300,"95",80,2,1,N
274,239,VIA Rail Canada Inc.,ONT,ON,Public,F,60.71,Alexandria - VIA,"-","-",Rockdale Dr - Cnty 33,45.3521,-75.3508,Ottawa (ON),Active - FLBG,false,false,false,"14",3350,"80",50,2,1,N
301,11829,VIA Rail Canada Inc.,ONT,ON,Public,F,75.37,Alexandria - VIA,"-","-",Michael St,45.4143,-75.6278,Ottawa (ON),Active - FLBG,false,false,false,"14",5900,"75",50,2,1,Y
371,252,VIA Rail Canada Inc.,ONT,ON,Public,F,70.44,Alexandria - VIA,"-","-",Anderson Rd  27,45.3828,-75.5465,Ottawa (ON),Active - FLBG,false,false,false,"14",2350,"80",80,2,1,N
487,253,VIA Rail Canada Inc.,ONT,ON,Public,F,71.98,Alexandria - VIA,"-","-",Rd 43 (Ramsayville Road),45.3877,-75.5775,Ottawa (ON),Active - FLBG,false,false,false,"14",1600,"80",80,2,1,N
547,11837,VIA Rail Canada Inc.,ONT,ON,Public,F,2.12,Beachburg - VIA,"-","-",Pleasant Park Rd,45.3927,-75.66904,Ottawa (ON),Active - FLBG,false,false,false,"28",4100,"45",50,4,1,Y
588,236,VIA Rail Canada Inc.,ONT,ON,Public,F,58.5,Alexandria - VIA,"-","-",Russland Rd,45.345,-75.3066,Ottawa (ON),Active - FLBG,false,false,false,"14",1200,"80",80,2,1,N
609,14522,VIA Rail Canada Inc.,ONT,ON,Public,F,21.24,Smiths Falls,"-","-",Dwyer Hill Rd,45.0766,-75.903,Ottawa (ON),Active - FLBG,false,false,false,"12",550,"95",80,2,1,N
708,51759,VIA Rail Canada Inc.,ONT,ON,Private,F,3.3,Smiths Falls,"-","-",Transit Way,45.3028,-75.73405,Ottawa (ON),Active - FLBG,false,false,false,"30",1002,"60",80,2,1,N
731,14507,VIA Rail Canada Inc.,ONT,ON,Public,F,3.88,Smiths Falls,"-","-",Fallowfield Rd,45.2951,-75.74,Ottawa (ON),Active - FLBG,false,false,false,"21.29",28897,"60",80,4,1,Y
763,14514,VIA Rail Canada Inc.,ONT,ON,Public,F,9.88,Smiths Falls,"-","-",Twin Elm Rd,45.22406,-75.80421,Ottawa (ON),Active - FLBG,false,false,false,"12",400,"95",80,2,1,N
764,14513,VIA Rail Canada Inc.,ONT,ON,Public,F,9.73,Smiths Falls,"-","-",Cambrian Rd,45.2265,-75.8034,Ottawa (ON),Active - FLBG,false,false,false,"12",400,"95",80,2,1,Y
931,247,VIA Rail Canada Inc.,ONT,ON,Public,F,65.99,Alexandria - VIA,"-","-",Eighth Line Rd,45.3688,-75.4571,Ottawa (ON),Active - FLBG,false,false,false,"17.5",350,"80",60,2,1,N
1052,240,VIA Rail Canada Inc.,ONT,ON,Public,F,60.87,Alexandria - VIA,"-","-",Buckland Rd,45.3526,-75.3541,Ottawa (ON),Active - FLBG,false,false,false,"14",450,"80",50,2,1,N
1330,238,VIA Rail Canada Inc.,ONT,ON,Public,F,60.57,Alexandria - VIA,"-","-",Devine Rd,45.3516,-75.3481,Ottawa (ON),Active - FLBG,false,false,false,"14",300,"80",80,2,1,N
1458,237,VIA Rail Canada Inc.,ONT,ON,Public,F,58.7,Alexandria - VIA,"-","-",Dunning Rd,45.3457,-75.3106,Ottawa (ON),Active - FLBG,false,false,false,"14",250,"80",80,2,1,N
1584,245,VIA Rail Canada Inc.,ONT,ON,Public,F,64.9,Alexandria - VIA,"-","-",Carlsbad Lane,45.3654,-75.4351,Ottawa (ON),Active - FLBG,false,false,false,"14",216,"80",80,2,1,N
1659,248,VIA Rail Canada Inc.,ONT,ON,Public,F,67.44,Alexandria - VIA,"-","-",Hall Rd,45.3733,-75.4859,Ottawa (ON),Active - FLBG,false,false,false,"14",200,"80",80,2,1,N
